cardId,cardName,monthlyusecount
1,라이언 치즈 체크카드,100
2,go 캐시백 글로벌 체크카드,3
3,어피치 스윗 체크카드,100
4,IBK무민카드(체크),2
5,드림플러스 아시아나 체크카드,100
6,카드의정석 SSO3 CHECK,31
7,신한카드 4Tune 체크,3
8,올바른GLOBAL체크카드,100
9,일상의 기쁨카드(체크),2
10,카드의 정석 SSO3 NEW-TRO CHECK,2
11,우리 아이행복체크카드,2
12,롯데마트 라서즐거운 체크카드,2
13,라떼 우리체크카드,100
14,우리 YG 체크카드,2
15,CJ ONE 신한카드 체크,5
16,NH20해봄체크카드,3
17,어디서나 체크카드,5
18,갤러리아 체크카드,100
19,요기요 신한카드 체크,4
20,카드의정석 L.POINT CHECK,100
21,카드의정석 POINT CHECK x 아기상어,100
22,하이틴즈 체크카드,100
23,신한 S20 체크카드,3
24,누리체크카드,100
25,ONE 체크카드,100
26,가온체크카드,100
27,New 현대백화점 체크카드,2
28,알뜰교통카드 S20 Check,3
29,IBK 국민행복 체크카드,2
30,DC줌체크카드(비씨),100
31,신한 S20 Pink(핑크)체크카드,3
32,우리국민행복체크카드,4
33,내일배움체크카드,3
34,비트윈체크카드,100
35,국민행복체크카드(비씨),4
36,하나멤버스 1Q 체크카드,100
37,아이행복카드(체크),4
38,NC다이노스체크카드,100
39,음 체크카드,100
40,위글위글 첵첵 체크카드,100
41,카드의정석 COOKIE CHECK,4
42,노리체크카드,3
43,카카오뱅크 프렌즈 체크카드,3
44,신한카드 Hey Young 체크,5
45,알뜰교통카드 COOKIE CHECK,4
46,LoL CHAMPIONS KOREA 우리체크카드,2
47,young利한(영리한) 체크카드,3
48,썸타는 우리 체크,2
49,해피락스타 체크카드,2
50,나라사랑체크카드,2
51,아시아나 체크카드,100
52,펭수 노리 체크카드(펭카),2
53,새로이 체크카드,100
54,카카오페이 체크카드,4
55,배달의민족 비장의카드 V.2,2
56,해피노리체크카드,2
57,Global+ 체크,4
58,JYP Fan's EDM 체크,3
59,FANtastic S 신한카드 체크,4
60,신세계 씨티 플러스 체크카드,100
61,쿠팡 신한카드 체크,100
62,국민행복 삼성체크카드,1
63,락스타 체크카드,2
64,에이스플러스체크카드(벨리미키),2
65,GD카드(체크),2
66,LG U+체크카드,100
67,Global체크카드,100
68,시코르 체크카드,100
69,펭수 노리 체크카드(펭모티콘),2
70,신세계 신한카드 체크,3
71,몰테일 신한카드 체크,4
72,해외에선 체크카드,100
73,에이스플러스체크카드(미키90주년),2
74,아이행복체크카드(비씨),2
75,H.Point 체크카드,100
76,아모레퍼시픽 체크카드,100
77,AK우리카드 체크,1
78,LIKIT fun 체크카드,5
79,다이소 신한카드 체크,5
80,한국야쿠르트 팝 신한카드 체크,100
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
